Index,File,Points,Lambda_Min,Lambda_Max,Integral,Peak_Value,Peak_Lambda,Mean_Value
192,500_425_QEPB04081__192__15-51-30-124.txt,1044,220.843,1015.12,1258229.29026,36199.38,504.934,1559.41256704981
193,500_425_QEPB04081__193__15-51-31-113.txt,1044,220.843,1015.12,1257760.77275,36202.25,504.934,1558.82950191571
194,500_425_QEPB04081__194__15-51-32-104.txt,1044,220.843,1015.12,1257206.84976,36182.88,505.707,1558.14149425288
195,500_425_QEPB04081__195__15-51-33-095.txt,1044,220.843,1015.12,1257487.18276,36145.38,504.934,1558.49398467433
196,500_425_QEPB04081__196__15-51-34-093.txt,1044,220.843,1015.12,1256482.1985,36165.5,504.934,1557.2346743295
197,500_425_QEPB04081__197__15-51-35-087.txt,1044,220.843,1015.12,1256947.93626,36172.88,505.707,1557.82157088123
198,500_425_QEPB04081__198__15-51-36-090.txt,1044,220.843,1015.12,1256967.62675,36165.75,504.934,1557.84291187739
199,500_425_QEPB04081__199__15-51-37-106.txt,1044,220.843,1015.12,1257182.83676,36129.38,504.934,1558.12137931035
200,500_425_QEPB04081__200__15-51-38-108.txt,1044,220.843,1015.12,1256831.897,36184.5,504.934,1557.6867816092
201,500_425_QEPB04081__201__15-51-39-124.txt,1044,220.843,1015.12,1256815.56425,36122.25,505.707,1557.66379310345
202,500_425_QEPB04081__202__15-51-40-117.txt,1044,220.843,1015.12,1256721.25274,36101.12,505.707,1557.54720306513
203,500_425_QEPB04081__203__15-51-41-115.txt,1044,220.843,1015.12,1256653.77226,36120.38,505.707,1557.46333333334
204,500_425_QEPB04081__204__15-51-42-111.txt,1044,220.843,1015.12,1256122.85226,36144.38,505.707,1556.79858237548
205,500_425_QEPB04081__205__15-51-43-112.txt,1044,220.843,1015.12,1255997.55176,36087.88,505.707,1556.64628352491
206,500_425_QEPB04081__206__15-51-44-103.txt,1044,220.843,1015.12,1256270.05774,36076.12,505.707,1556.98877394636
207,500_425_QEPB04081__207__15-51-45-098.txt,1044,220.843,1015.12,1256065.79075,36081.75,505.707,1556.74329501916
208,500_425_QEPB04081__208__15-51-46-089.txt,1044,220.843,1015.12,1256046.43724,36016.62,505.707,1556.71865900383
209,500_425_QEPB04081__209__15-51-47-100.txt,1044,220.843,1015.12,1255259.5975,36020,505.707,1555.73850574713
210,500_425_QEPB04081__210__15-51-48-099.txt,1044,220.843,1015.12,1254658.59325,36021.75,505.707,1554.98850574713
211,500_425_QEPB04081__211__15-51-49-102.txt,1044,220.843,1015.12,1254980.20524,36035.62,504.934,1555.37957854406
212,500_425_QEPB04081__212__15-51-50-100.txt,1044,220.843,1015.12,1255253.96,36140.5,504.934,1555.73850574713
213,500_425_QEPB04081__213__15-51-51-089.txt,1044,220.843,1015.12,1255220.98625,36006.75,504.934,1555.70019157088
214,500_425_QEPB04081__214__15-51-52-093.txt,1044,220.843,1015.12,1255209.17226,36065.38,504.934,1555.68363984675
215,500_425_QEPB04081__215__15-51-53-095.txt,1044,220.843,1015.12,1255193.20174,36060.12,505.707,1555.67268199233
216,500_425_QEPB04081__216__15-51-54-083.txt,1044,220.843,1015.12,1254835.91624,36063.62,504.934,1555.22057471264
217,500_425_QEPB04081__217__15-51-55-075.txt,1044,220.843,1015.12,1254462.232,36051.5,505.707,1554.75862068966
218,500_425_QEPB04081__218__15-51-56-068.txt,1044,220.843,1015.12,1254328.48924,35974.12,504.934,1554.58743295019
219,500_425_QEPB04081__219__15-51-57-059.txt,1044,220.843,1015.12,1254296.0755,36015.5,504.934,1554.55363984674
220,500_425_QEPB04081__220__15-51-58-069.txt,1044,220.843,1015.12,1255609.0645,36088.5,504.934,1556.19731800766
221,500_425_QEPB04081__221__15-51-59-068.txt,1044,220.843,1015.12,1253689.38975,35989.25,505.707,1553.79789272031
